Index,Rarity,RT_Rarity,Headgear,Facial Hair,Hands,Mouth Accessory,Background,Hair,Body,Eyes,Tattoos,Earring,Clothing,Mouth
30,119.2987,2903,None,None,Rockstar,None,Vice City Pink,Frazzled Bleached,Light Brown,Regular,None,None,Hawaiian Shirt,Shocked
31,252.5675,473,Robin Hood Hat,None,Holy,None,Indigo,None,Light Beige,VR Headset,Rekt,None,Varsity Jacket,Regular
32,181.8006,1412,Helicopter Cap,None,Player,None,Chrome,None,Robot,AR Glasses,None,None,Ouch!,Regular
33,191.462,2175,None,Wise Grey Beard,Player,None,Acquamarine,Surfer,Psychedelic,Hypnotized,None,None,WcDonalds GM,Regular
34,173.8717,1474,None,None,Player,None,Baby Yellow,Keith G.,Light Brown,Blasé,None,None,Kiss,Drooling
35,138.2608,2380,None,None,Holy,None,Orange Sherbet,Top Knot,Robot,Possessed,None,None,BTFD T,Killer Smile
36,143.3096,2364,None,None,Holy,None,Orange Sherbet,Keith G.,Zombie,Regular,None,None,GME T,Killer Smile
37,215.8853,690,Born To Ape Helmet,None,Player,None,Malibu Blue,None,Psychedelic,Stoned,None,Silver Ring,This Guy F*cks Suit,Paint Mask
38,134.701,2456,Black Beanie,None,Holy,None,Malibu Blue,None,Dark Brown,AR Glasses,None,None,Analyst Blazer,The pipe
39,225.0,204,Golden Halo,None,Player,None,Orange Sherbet,None,Robot,Black Wayfarer,None,None,Army Gear,Regular
40,198.1305,1084,Ushanka,None,Holy,None,Acquamarine,None,Light Beige,Black Wayfarer,Rekt,Double Helix,Turtleneck,Vampire
41,243.6237,486,Saudi Prince,None,Italian,None,Chrome,None,Psychedelic,Blasé,None,None,Gala Suit,Marlboro Red
42,14.0,11,Unicorn,None,Player,None,Indigo,None,Light Beige,Angry,None,None,Much Wow T,Killer Smile
43,146.579,2141,None,None,Player,None,Orange Sherbet,Punk Mohawk,Dark Brown,3D Glasses,None,None,Analyst Blazer,Vampire
44,274.7725,323,Helicopter Cap,None,Player,None,Celadon,None,Dark Brown,Cyborg,None,None,Bull Suit,Vampire
45,163.8252,1835,Samurai Helmet,None,Holy,None,Indigo,None,Dark Brown,Possessed,None,None,Kimono,Psycho Smile
46,210.7836,822,None,None,Italian,None,Celadon,Keith G.,Psychedelic,Accountant Rims,None,None,Samurai,Cuban Cigar
47,119.1852,2983,None,None,Italian,None,Indigo,Slicked Back,Light Brown,Angry,None,None,80s Gym,Regular
48,269.8765,262,Golden Halo,None,Rockstar,None,Acquamarine,None,Light Beige,Swimmies,None,None,Dapper Suit,420
49,159.1834,1909,None,None,Italian,None,Malibu Blue,Surfer,Light Brown,The Gambler,None,None,Hodl 2 Moon T,Regular
50,274.1312,308,Black Beanie,None,Rockstar,None,Baby Yellow,None,Light Brown,Bezos Glasses,None,None,Gold Suit,Vampire
51,136.0251,2346,None,None,Rockstar,None,Chrome,Luscious Blonde,Light Brown,Clockwork Orange,None,None,WSC Trader,Charming Smile
52,262.0202,457,None,None,Rockstar,None,Acquamarine,Janet Y.,Light Brown,Oval White Glasses,Tear Drop,None,Ouch!,Killer Smile
53,103.0256,3084,None,None,Player,None,Celadon,Fresh Cut,Light Brown,Regular,None,None,Black Tuxedo,Charming Smile
54,117.0,55,Gorilla,None,Player,None,Acquamarine,None,Light Brown,None,None,None,Ape Suit,None
55,210.0608,664,None,None,Player,None,Malibu Blue,Luscious Brown,Gold,Stoned,None,Double Helix,Black Tuxedo,Rainbow Grillz
56,173.0251,1548,None,None,Rockstar,None,Orange Sherbet,Rainbow Fro,Dark Brown,Stoned,None,None,White Polo,Psycho Smile
57,232.4562,756,Saudi Prince,None,Player,Chad Mask,Acquamarine,None,Zombie,Accountant Rims,None,None,Cookies N Cream Suit,Psycho Smile
58,188.5241,1062,None,None,Player,None,Acquamarine,Lil Chaddy,Light Brown,Regular,None,None,Kiss,The pipe
59,134.2054,2591,Oil Tycoon,None,Player,None,Malibu Blue,None,Light Beige,Angry,None,None,Black Tuxedo,Killer Smile
60,136.2705,2593,Pirate,None,Player,None,Acquamarine,None,Light Beige,Regular,None,None,Lehman Siblings T,Bubble Gum
61,247.6562,415,Gamer Headset,None,Player,None,Malibu Blue,Murica,Zombie,Angry,None,None,Gold Suit,Vampire
62,99.0,39,Gorilla,None,Player,None,Orange Sherbet,None,Psychedelic,None,None,None,Psycho Rain Coat,None
63,171.4674,2151,WSC Cap,None,Player,None,Baby Yellow,Michael B.,Robot,Stoned,Bowie,None,WcDonalds GM,Drooling
64,190.3805,1016,Saudi Prince,None,Player,None,Orange Sherbet,Michael B.,Light Beige,Accountant Rims,None,None,Black Tuxedo,Cuban Cigar
65,96.0,147,None,None,Holy,None,Indigo,Top Knot,Light Brown,Beer Goggles,None,Helix Set,Yakuza,Cuban Cigar
66,238.2238,478,Born To Ape Helmet,None,Rockstar,None,Celadon,Michael B.,Robot,Founder Life,None,Diamond Stud & Cross,Gold Suit,Cuban Cigar
67,173.8745,1356,Balaklava,None,Rockstar,None,Chrome,None,Light Beige,Regular,None,None,80s Gym,420
68,187.6872,1438,BlackBerry Cap,None,Italian,None,Orange Sherbet,None,Light Brown,Possessed,Rekt,Double Helix,WSC Red T,Regular
69,186.8469,1259,Red Beanie,None,Rockstar,None,Malibu Blue,None,Robot,Founder Life,Rekt,Helix Set,WSC Red T,Regular
70,141.3411,2429,None,None,Holy,None,Celadon,Luscious Brown,Light Beige,Angry,None,None,Kiss,Charming Smile
71,230.0,351,None,None,Player,None,Malibu Blue,Black Fro,Dark Brown,3D Glasses,None,None,Robin Hood,420
72,52.0,29,Gorilla,None,Player,None,Chrome,None,Dark Brown,None,None,None,Bull Suit,None
73,236.756,454,Red Beanie,None,Player,None,Indigo,None,Gold,Angry,None,Helix Set,This Guy F*cks Suit,Regular
74,156.2292,1918,Black Beanie,None,Player,None,Acquamarine,None,Psychedelic,Angry,None,None,Black Jeans Jacket,420
75,173.3965,1728,None,None,Holy,None,Orange Sherbet,Black Fro,Zombie,Stoned,None,None,Mink Coat,Regular
76,186.8829,1977,None,None,Rockstar,None,Celadon,Fresh Cut,Light Beige,AR Glasses,69,None,Black Tuxedo,The pipe
77,169.2205,1348,None,None,Player,None,Acquamarine,Slicked Back,Gold,Regular,None,None,Analyst Blazer,Bubble Gum
78,264.0,230,None,None,Player,None,Orange Sherbet,Giga Chad,Dark Brown,Accountant Rims,None,None,Knight Armor,Regular
79,113.1638,2995,None,None,Player,None,Vice City Pink,Fresh Cut,Dark Brown,YOLO-ed life savings,None,None,Black Tuxedo,Shocked
80,135.6323,2454,Doge Hat,None,Player,None,Indigo,None,Dark Brown,Black Wayfarer,None,None,Analyst Blazer,Shocked
81,192.7488,1203,Wolf,None,Holy,None,Vice City Pink,None,Light Brown,Accountant Rims,Rekt,None,VC Fleece,Psycho Smile
82,134.8721,2559,Black Beanie,None,Holy,None,Orange Sherbet,Michael B.,Robot,Regular,None,None,Playful Shirt,Regular
83,251.7254,745,None,None,Rockstar,None,Orange Sherbet,Frazzled Bleached,Light Brown,Villain Monocle,Barbed Wire,None,"""Investor"" T",Charming Smile
84,97.0,42,Astronaut Helmet,None,Holy,None,Indigo,None,Dark Brown,None,None,None,Ape Suit,None
85,281.0031,265,WSC Cap,None,Rockstar,None,Indigo,None,Dark Brown,Laser Eyes,None,None,BTFD T,Charming Smile
86,226.2929,665,Ushanka,None,Holy,None,Baby Yellow,None,Zombie,Stoned,None,Gold Stud & Cross,Ouch!,Psycho Smile
87,170.6036,1453,Fast Food Cap,None,Holy,None,Indigo,None,Light Beige,Swimmies,None,Helix Set,Turtleneck,Regular
88,169.7893,1607,Ushanka,None,Holy,None,Acquamarine,None,Light Brown,Swimmies,None,Double Helix,Wen Moon T,Regular
89,144.2762,2297,Doge Hat,None,Italian,None,Acquamarine,None,Psychedelic,Regular,None,None,Analyst Blazer,Charming Smile
90,238.0,231,None,None,Rockstar,None,Malibu Blue,Keith G.,Light Brown,Laser Eyes,None,None,Lehman Siblings T,Regular
91,272.0916,380,None,None,Italian,None,Chrome,Luscious Brown,Light Beige,Blasé,None,None,Yakuza,Shocked
92,111.0,155,Born To Ape Helmet,None,Holy,None,Malibu Blue,None,Gold,Blasé,Tear Drop,Diamond Stud & Cross,Puffer Vest,Regular
93,217.7113,882,WSC Cap,None,Holy,Chad Mask,Celadon,Murica,Zombie,AR Glasses,None,None,Black Tuxedo,Psycho Smile
94,180.3983,1202,Ushanka,None,Rockstar,None,Indigo,None,Robot,AR Glasses,None,Gold Stud & Cross,Friday Night Blazer,Regular
95,156.4782,1912,Pirate,None,Player,None,Malibu Blue,None,Psychedelic,Oval White Glasses,None,None,Mustard Polo,Charming Smile
96,162.6819,1790,None,None,Rockstar,None,Indigo,Surfer,Dark Brown,Blasé,None,None,80s Disco Suit,Rainbow Grillz
97,124.8116,2829,None,None,Italian,None,Vice City Pink,Luscious Brown,Light Beige,Founder Life,None,None,Cookies N Cream Suit,Vampire
98,134.0391,2589,None,None,Player,None,Acquamarine,Slicked Back,Light Brown,YOLO-ed life savings,None,None,Blood-stained T,420
99,239.6692,523,Pirate,None,Rockstar,None,Acquamarine,None,Psychedelic,The Gambler,None,Double Helix,Astronaut,Regular
100,241.1579,441,Balaklava,None,Player,None,Malibu Blue,None,Light Brown,Beer Goggles,None,None,Turtleneck,Marlboro Red
101,156.5141,1916,Black Beanie,None,Player,None,Baby Yellow,None,Dark Brown,Founder Life,None,None,Blue Jeans Jacket,The pipe
102,259.3322,356,Sombrero,None,Rockstar,None,Acquamarine,None,Psychedelic,Founder Life,None,None,XXL Black T,420
103,179.7391,1222,Doge Hat,None,Holy,None,Acquamarine,None,Dark Brown,Swimmies,None,None,Blue Jeans Jacket,The pipe
104,203.5992,1355,None,None,Italian,Chad Mask,Acquamarine,Lil Chaddy,Light Brown,Founder Life,None,None,Black Tuxedo,Psycho Smile
105,224.0188,551,Robin Hood Hat,None,Rockstar,None,Vice City Pink,None,Light Brown,Regular,None,Helix Set,WcDonalds GM,The pipe
106,167.31,1573,None,None,Italian,None,Acquamarine,Green Fro,Light Beige,YOLO-ed life savings,None,None,Friday Night Blazer,Marlboro Red
107,146.3547,2067,None,None,Player,None,Acquamarine,Surfer,Dark Brown,The Gambler,None,None,Cookies N Cream Suit,Cuban Cigar
108,253.0,216,Born To Ape Helmet,None,Player,None,Chrome,Balding,Gold,Beer Goggles,None,None,Psycho Rain Coat,Charming Smile
109,131.4445,2847,Born To Ape Helmet,None,Player,None,Indigo,None,Light Beige,YOLO-ed life savings,Tear Drop,None,WSC Trader,Killer Smile
110,207.3816,754,Balaklava,None,Rockstar,None,Vice City Pink,None,Psychedelic,Angry,None,None,Turtleneck,Cuban Cigar
111,219.3238,644,Red Beanie,None,Rockstar,None,Chrome,None,Light Brown,Beer Goggles,None,Silver Ring,White Polo,Bubble Gum
112,146.2003,2292,Samurai Helmet,None,Player,None,Acquamarine,None,Dark Brown,Black Wayfarer,None,None,WSC Red T,Drooling
113,221.5379,659,None,None,Rockstar,None,Celadon,Rainbow Fro,Light Brown,Villain Monocle,None,None,"""Investor"" T",The pipe
114,198.0422,959,None,None,Rockstar,None,Malibu Blue,Luscious Blonde,Robot,3D Glasses,None,None,This Guy F*cks Suit,Marlboro Red
115,105.0,52,Gorilla,None,Italian,None,Vice City Pink,None,Light Beige,None,None,None,Psycho Rain Coat,None
116,179.6721,1185,Red Beanie,None,Player,None,Vice City Pink,Balding,Light Brown,3D Glasses,None,Double Helix,Wen Moon T,Regular
117,5.0,48,None,None,Player,None,Acquamarine,Rainbow Fro,Light Beige,Blasé,I <3 Mom,None,Ouch!,Cuban Cigar
118,218.807,1230,None,None,Player,None,Baby Yellow,Mullet,Dark Brown,Beer Goggles,Full Face,None,Rambo,Charming Smile
119,176.3121,1360,WSC Cap,None,Holy,None,Vice City Pink,None,Light Brown,Villain Monocle,None,None,Lehman Siblings T,Shocked
120,184.3654,1153,Gold Laurel Wreath,None,Holy,None,Acquamarine,None,Robot,Angry,None,None,WSC Trader,Shocked
121,155.6979,1933,WSC Cap,None,Italian,None,Indigo,None,Light Brown,YOLO-ed life savings,None,Gold Stud & Cross,WcDonalds GM,Regular
122,120.6354,2876,None,None,Rockstar,None,Acquamarine,Keith G.,Light Beige,Blasé,None,None,WSC Trader,Charming Smile
123,245.4018,412,Saudi Prince,None,Rockstar,None,Orange Sherbet,None,Gold,YOLO-ed life savings,None,None,Gala Suit,Killer Smile
124,110.7688,2997,None,None,Holy,None,Vice City Pink,Top Knot,Light Brown,Stoned,None,None,Cookies N Cream Suit,Bubble Gum
125,213.1513,696,Gold Laurel Wreath,None,Holy,None,Acquamarine,None,Dark Brown,Cyborg,None,None,Playful Shirt,Regular
126,100.3231,3078,None,None,Player,None,Orange Sherbet,Surfer,Light Brown,Regular,None,None,WSC Trader,Bubble Gum
127,173.5377,1215,BlackBerry Cap,None,Player,None,Chrome,Michael B.,Dark Brown,Regular,None,Helix Set,WcDonalds GM,Vampire
128,211.3237,770,Saudi Prince,None,Italian,None,Baby Yellow,None,Light Beige,The Gambler,None,None,Shark Suit,Regular
129,134.6153,2482,None,None,Player,None,Vice City Pink,Frazzled Bleached,Zombie,Angry,None,None,WSC Trader,Vampire
130,138.6486,2487,None,None,Holy,None,Vice City Pink,Rainbow Fro,Light Beige,Accountant Rims,None,None,WSC Red T,Drooling
131,127.7128,2654,Red Beanie,None,Player,None,Malibu Blue,Michael B.,Light Beige,Swimmies,None,None,WSC Trader,Drooling
132,141.9143,2325,Wolf,None,Rockstar,None,Acquamarine,None,Light Beige,Stoned,None,None,WcDonalds GM,Shocked
133,187.3951,1207,Doge Hat,None,Player,None,Baby Yellow,None,Light Brown,Regular,None,None,XXL Black T,420
134,248.7197,437,Sombrero,None,Rockstar,None,Vice City Pink,None,Dark Brown,Blasé,None,None,Ape Suit,The pipe
135,188.32,952,WSC Cap,None,Italian,None,Chrome,None,Psychedelic,Clockwork Orange,None,Silver Ring,Friday Night Blazer,Bubble Gum
136,165.0,172,Golden Halo,None,Holy,None,Celadon,None,Zombie,Founder Life,None,Double Helix,Trench Coat,The pipe
137,240.65,438,Helicopter Cap,None,Rockstar,None,Malibu Blue,None,Dark Brown,Bezos Glasses,None,None,VC Fleece,Bubble Gum
138,231.0045,688,Ushanka,None,Rockstar,None,Indigo,None,Light Beige,Regular,None,None,Bull Suit,Drooling
139,266.982,702,Fast Food Cap,None,Holy,None,Vice City Pink,None,Light Brown,Regular,Full Face,None,Papal Regalia,420
140,191.3054,1762,Pirate,None,Player,Chad Mask,Orange Sherbet,None,Light Beige,Angry,None,None,Gala Suit,Psycho Smile
141,255.8686,460,Wolf,None,Rockstar,None,Malibu Blue,None,Light Beige,Angry,None,None,Bull Suit,Psycho Smile
142,274.9381,350,Fast Food Cap,None,Holy,None,Baby Yellow,None,Dark Brown,Regular,None,None,Yakuza,Regular
143,245.2794,649,None,None,Holy,None,Vice City Pink,Black Fro,Dark Brown,Angry,Barbed Wire,Helix Set,VC Fleece,Marlboro Red
144,153.1358,2030,None,None,Holy,None,Baby Yellow,Black Fro,Dark Brown,YOLO-ed life savings,None,None,Varsity Jacket,The pipe
145,181.3073,1275,Black Beanie,None,Holy,None,Chrome,Michael B.,Light Brown,Swimmies,None,None,Samurai,Cuban Cigar
146,167.7217,1630,Oil Tycoon,None,Player,None,Celadon,None,Light Brown,Founder Life,None,None,This Guy F*cks Suit,Drooling
147,258.2282,516,Fast Food Cap,None,Holy,Chad Mask,Vice City Pink,None,Light Beige,Fear & Loathing,None,None,Dapper Suit,Psycho Smile
148,169.6944,1648,None,None,Rockstar,None,Indigo,Black Fro,Light Beige,Founder Life,None,Double Helix,Knight Armor,Regular
149,178.3603,1598,Ushanka,None,Rockstar,None,Chrome,None,Robot,Founder Life,None,None,Ouch!,Regular
150,173.3481,1332,Helicopter Cap,None,Player,None,Indigo,Michael B.,Light Beige,Stoned,None,Silver Ring,Rambo,Drooling
151,114.9256,3082,None,None,Italian,None,Malibu Blue,Surfer,Light Brown,Angry,Rekt,None,Friday Night Blazer,Regular
152,135.1862,2689,Pirate,None,Italian,None,Chrome,None,Light Beige,YOLO-ed life savings,None,None,Blood-stained T,Regular
153,150.6156,2377,None,None,Holy,None,Acquamarine,Top Knot,Light Beige,3D Glasses,Tear Drop,None,WSC Red T,Bubble Gum
154,163.9393,1965,None,None,Rockstar,None,Acquamarine,Surfer,Light Beige,Founder Life,None,None,Mink Coat,Regular
155,143.0,177,Ushanka,None,Rockstar,None,Celadon,None,Light Brown,Laser Eyes,None,Gold Stud & Cross,WSC Trader,Charming Smile
156,251.7222,451,None,None,Italian,None,Celadon,Luscious Blonde,Dark Brown,VR Headset,None,Double Helix,Astronaut,Rainbow Grillz
157,168.6106,1964,None,None,Rockstar,None,Baby Yellow,Mullet,Psychedelic,YOLO-ed life savings,Rekt,None,Shark Suit,Killer Smile
158,187.3708,1206,None,None,Holy,None,Indigo,Black Fro,Dark Brown,YOLO-ed life savings,None,Diamond Stud & Cross,XXL Black T,Regular
159,105.3151,3039,None,None,Holy,None,Orange Sherbet,Long Red Hair,Light Brown,Possessed,None,None,Friday Night Blazer,Killer Smile
160,190.5727,1109,Pirate,None,Rockstar,None,Chrome,None,Dark Brown,Blasé,None,Silver Ring,XXL Black T,420
161,208.6563,718,Sombrero,None,Player,None,Malibu Blue,None,Light Brown,The Gambler,None,None,Hawaiian Shirt,Regular
162,159.5317,2782,None,None,Holy,None,Malibu Blue,Surfer,Zombie,Regular,Full Face,None,Black Tuxedo,Regular
163,201.0,100,Gorilla,None,Holy,None,Vice City Pink,None,Dark Brown,None,None,None,GME T,None
164,169.7749,1716,Samurai Helmet,None,Holy,None,Orange Sherbet,None,Light Beige,Blasé,None,None,Samurai,Bubble Gum
165,141.9995,2212,Oil Tycoon,None,Player,None,Malibu Blue,None,Light Beige,Stoned,None,None,WcDonalds GM,Cuban Cigar
166,232.0,107,Astronaut Helmet,None,Holy,None,Baby Yellow,None,Dark Brown,None,None,None,Friday Night Blazer,None
167,220.303,680,Gold Laurel Wreath,None,Holy,None,Indigo,None,Light Beige,Possessed,None,None,Samurai,Drooling
168,71.0,105,Born To Ape Helmet,None,Player,None,Celadon,None,Gold,Laser Eyes,None,None,This Guy F*cks Suit,Regular
169,225.2609,614,Born To Ape Helmet,None,Player,None,Baby Yellow,None,Zombie,Angry,Tear Drop,Gold Stud & Cross,GME T,The pipe
170,260.4186,354,BlackBerry Cap,None,Player,Chad Mask,Acquamarine,None,Dark Brown,Stoned,Bowie,Double Helix,VC Fleece,Psycho Smile
171,185.8704,1209,None,None,Holy,None,Baby Yellow,Luscious Blonde,Light Beige,Founder Life,Tear Drop,Diamond Stud & Cross,Varsity Jacket,Drooling
172,114.0,164,Red Beanie,None,Player,None,Celadon,None,Zombie,Swimmies,None,Diamond Stud & Cross,Yakuza,Charming Smile
173,113.522,2967,None,None,Player,None,Celadon,Top Knot,Light Beige,Black Wayfarer,None,None,WSC Trader,Charming Smile
174,213.1041,774,None,None,Player,None,Celadon,Green Fro,Light Brown,Blasé,None,None,Ape Suit,Paint Mask
175,192.7962,1130,Born To Ape Helmet,None,Player,None,Vice City Pink,None,Light Brown,Swimmies,None,None,XXL Black T,Psycho Smile
176,216.3884,685,Black Beanie,None,Rockstar,None,Baby Yellow,None,Light Beige,Black Wayfarer,None,Diamond Stud & Cross,Kiss,420
177,115.5836,2991,Black Beanie,None,Rockstar,None,Baby Yellow,None,Light Beige,Regular,None,None,Black Tuxedo,Killer Smile
178,212.696,935,None,None,Italian,None,Malibu Blue,Fresh Cut,Psychedelic,Beer Goggles,Tear Drop,None,Samurai,Shocked
179,196.7073,986,WSC Cap,None,Player,None,Vice City Pink,Michael B.,Robot,YOLO-ed life savings,None,None,XXL Black T,Vampire
180,149.3255,2089,None,None,Holy,None,Acquamarine,Frazzled Bleached,Light Brown,Hypnotized,None,None,Degen T,Bubble Gum
181,170.1297,1511,None,None,Italian,None,Indigo,Long Red Hair,Psychedelic,Cyborg,None,None,BTFD T,Killer Smile
182,162.2843,1787,Helicopter Cap,None,Rockstar,None,Orange Sherbet,None,Light Beige,Stoned,None,Double Helix,GME T,Bubble Gum
183,228.2087,570,Fast Food Cap,None,Holy,None,Baby Yellow,None,Robot,Villain Monocle,None,Silver Ring,Psycho Rain Coat,Charming Smile
184,238.7166,137,Ninja Mask,None,Player,None,Malibu Blue,None,Light Beige,Founder Life,None,None,GME T,None
185,166.6829,1839,Fast Food Cap,None,Italian,None,Malibu Blue,None,Light Beige,Founder Life,None,None,WSC Black T,Vampire
186,174.3639,1795,Fast Food Cap,None,Italian,None,Malibu Blue,None,Light Brown,Angry,Tear Drop,None,Blue Jeans Jacket,Cuban Cigar
187,161.6382,1789,None,None,Player,None,Baby Yellow,Hipster Beanie,Psychedelic,YOLO-ed life savings,None,None,Rambo,420
188,146.4667,2294,Fast Food Cap,None,Player,None,Malibu Blue,None,Light Beige,Regular,None,None,Kimono,420
189,153.7815,1902,Helicopter Cap,None,Player,None,Acquamarine,None,Robot,Angry,None,None,BTFD T,420
190,149.1258,2259,Samurai Helmet,None,Holy,None,Indigo,None,Light Beige,Blasé,None,None,Gala Suit,Charming Smile
191,224.8022,571,Gold Laurel Wreath,None,Rockstar,None,Malibu Blue,None,Light Brown,Villain Monocle,None,None,WSC Trader,Cuban Cigar
192,178.4439,1437,None,None,Player,None,Acquamarine,Frazzled Bleached,Dark Brown,Black Wayfarer,None,None,Much Wow T,Drooling
193,188.5906,1030,Pirate,None,Holy,None,Malibu Blue,None,Robot,Aviators Cyborg,None,None,Turtleneck,Psycho Smile
194,185.2816,1242,BlackBerry Cap,None,Rockstar,None,Chrome,None,Light Brown,Stoned,None,Helix Set,Gala Suit,Drooling
195,144.8584,2348,Pirate,None,Holy,None,Malibu Blue,None,Light Brown,Stoned,None,None,This Guy F*cks Suit,Bubble Gum
196,149.7344,2215,None,None,Holy,None,Vice City Pink,Top Knot,Light Beige,Angry,None,None,Psycho Rain Coat,Regular
197,165.436,1738,Oil Tycoon,None,Player,None,Baby Yellow,None,Robot,AR Glasses,None,None,WSC Black T,Regular
198,170.2695,1793,None,None,Player,None,Malibu Blue,Luscious Brown,Light Beige,Regular,None,None,Ouch!,Marlboro Red
199,182.0167,1433,Samurai Helmet,None,Holy,None,Chrome,None,Zombie,Regular,None,None,Ouch!,420
200,178.757,1325,WSC Cap,None,Player,None,Malibu Blue,None,Light Brown,YOLO-ed life savings,None,None,Psycho Rain Coat,The pipe
201,143.0708,2253,Samurai Helmet,None,Holy,None,Baby Yellow,None,Zombie,Black Wayfarer,None,None,Friday Night Blazer,Drooling
202,180.3297,1290,Samurai Helmet,None,Holy,None,Baby Yellow,None,Robot,Hypnotized,None,None,Kimono,Drooling
203,199.2707,875,Saudi Prince,None,Rockstar,None,Acquamarine,None,Psychedelic,Angry,None,None,Hawaiian Shirt,The pipe
204,219.8571,674,Fast Food Cap,None,Holy,None,Acquamarine,None,Light Brown,Aviators Cyborg,None,None,XXL Black T,Drooling
205,120.7287,2854,Samurai Helmet,None,Player,None,Malibu Blue,None,Zombie,Regular,None,None,Friday Night Blazer,Regular
206,128.7979,2722,None,None,Rockstar,None,Celadon,Frazzled Bleached,Light Beige,Blasé,None,None,Black Jeans Jacket,Charming Smile
207,261.8991,392,Ushanka,None,Rockstar,None,Acquamarine,None,Dark Brown,Beer Goggles,None,None,Puffer Vest,Shocked
208,138.9216,2528,None,None,Player,None,Acquamarine,Luscious Blonde,Light Brown,Black Wayfarer,None,None,This Guy F*cks Suit,Killer Smile
209,167.9687,1760,Black Beanie,None,Player,None,Indigo,None,Light Brown,Regular,None,None,XXL Black T,420
